"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",2,2,1,4,17,5,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,11,18,1,"3","230321_1349",1,0,0,"normal","high","GT",1,0,0,1,1,4
1,"History",2,1,1,7,19,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,4
1,"History",2,1,1,7,19,2,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,11,20,1,"3","230321_1349",1,0,0,"normal","high","GT",1,0,0,1,1,4
1,"History",2,2,1,11,20,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,11,20,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,2,1,11,20,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,4
1,"History",2,1,1,4,21,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,5
1,"History",2,2,1,4,21,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,5
1,"History",2,1,1,5,22,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,5
1,"History",2,2,1,5,22,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,5
1,"History",1,2,1,10,23,1,"3","230321_1349",1,1,0,"normal","high","GT",1,0,0,1,1,5
1,"History",1,1,1,10,23,2,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,1,10,23,3,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,1,10,23,4,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",1,1,1,10,23,5,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,5
1,"History",2,1,1,10,23,6,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,5
1,"History",2,2,1,10,23,7,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,5
1,"History",2,1,1,7,24,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,5
1,"History",2,1,1,7,24,2,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,5
