match,round,player_choice,computer_choice,id,treatment,perfect_quiz
26,1,B,A,192,21,1
27,1,A,B,147,15,1
27,1,B,B,192,21,1
29,1,A,A,192,21,1
30,3,A,B,192,21,1
30,1,B,B,838,15,1
26,1,A,B,59,20,0
57,2,B,B,1149,9,1
58,2,A,A,1026,7,1
28,3,B,B,1564,20,1
27,1,A,A,1034,19,1
57,2,B,B,415,9,0
28,1,A,A,35,19,1
30,2,B,B,1386,24,1
28,1,A,A,255,19,0
59,2,B,B,1395,7,1
30,1,A,A,1485,20,0
60,1,A,A,652,7,1
29,1,B,B,1270,20,1
30,1,B,A,1330,21,1
26,2,A,A,193,23,1
60,1,A,B,342,9,1
26,2,A,A,206,24,0
28,1,A,B,1472,15,1
30,3,A,B,70,21,1
57,1,A,A,1271,7,0
28,2,A,A,931,24,0
30,1,B,A,60,23,1
28,2,A,A,1075,19,1
26,2,B,B,1465,19,1
28,1,A,A,1588,24,1
26,1,B,B,136,21,1
27,1,A,B,996,20,1
26,1,A,A,585,24,1
30,1,A,A,1483,24,1
27,1,B,B,1216,20,0
27,1,B,B,1543,20,1
30,3,B,B,1167,15,1
30,1,B,A,194,20,1
29,1,B,A,626,23,1
26,2,A,B,706,21,1
57,1,B,A,175,7,1
26,2,B,B,274,20,0
30,2,B,B,36,15,0
29,1,A,B,519,15,0
58,2,B,B,327,7,1
30,1,A,A,1135,20,0
28,2,B,B,604,23,0
30,3,B,B,1012,23,1
60,1,B,B,1402,9,1
27,1,A,A,195,23,1
28,1,B,B,172,21,1
30,2,A,A,195,23,1
28,2,B,B,145,15,1
58,1,B,B,166,9,1
26,1,B,B,493,21,1
28,2,B,A,1184,21,1
30,1,B,B,1517,24,0
28,2,A,A,592,23,0
27,1,A,A,892,19,1
56,2,A,B,1130,7,1
30,1,B,A,1513,24,1
27,1,B,A,234,24,1
29,1,B,A,196,19,1
60,1,B,A,266,7,1
29,1,B,A,328,23,1
30,3,B,B,1303,24,1
28,3,A,A,1423,23,0
28,2,A,A,1069,19,1
28,3,A,B,219,21,1
57,2,B,B,191,9,1
29,1,B,B,1426,20,0
26,1,B,A,49,21,1
56,1,B,A,556,9,1
26,2,B,B,623,24,1
27,1,B,A,197,23,1
28,3,B,B,197,23,1
28,1,B,A,207,15,0
28,2,A,A,81,23,1
30,1,A,A,848,19,0
28,2,A,A,374,24,1
27,1,A,A,957,23,0
26,2,B,B,950,15,1
27,1,B,B,17,20,0
56,2,B,B,820,9,0
30,3,B,B,160,20,1
30,1,A,B,145,15,1
30,2,B,B,706,21,1
28,2,B,A,1182,24,1
28,2,A,B,1413,21,0
30,1,B,A,26,21,1
29,1,A,A,74,24,1
26,1,A,A,1581,20,0
29,1,B,A,450,24,0
30,2,B,B,934,21,1
28,3,B,B,1527,19,1
26,2,B,B,536,15,1
30,3,A,B,198,19,1
60,1,A,A,64,7,0
28,2,B,B,481,23,1
26,2,A,A,1113,24,1
28,3,B,B,422,20,0
30,2,B,B,291,24,1
30,2,B,B,957,23,0
58,2,A,B,402,9,0
27,1,B,A,1231,19,1
60,2,B,B,159,7,1
60,1,B,A,159,7,1
28,2,B,B,480,15,1
26,1,A,A,331,23,1
28,2,B,B,199,21,1
56,2,B,B,321,7,1
60,2,B,B,1417,9,1
57,1,B,A,159,7,1
56,2,B,B,159,7,1
57,2,B,B,283,9,0
29,1,A,A,576,24,1
30,3,B,B,30,23,1
28,3,A,B,779,23,1
58,2,B,B,250,7,1
29,1,A,A,1579,23,0
26,1,B,B,1564,20,1
28,1,A,A,200,15,1
28,3,A,A,200,15,1
30,3,B,B,1024,21,1
28,3,B,B,161,21,1
29,1,B,A,84,21,1
29,1,B,B,188,15,1
27,1,B,A,1306,21,0
30,1,B,A,1157,23,0
30,1,B,B,1107,21,0
28,3,B,B,1338,15,1
30,2,B,B,1167,15,1
26,1,A,A,1248,24,1
30,2,B,B,129,15,0
28,3,B,B,269,19,1
30,3,B,B,201,23,0
30,2,B,B,1512,15,0
30,1,B,B,1263,20,1
60,2,A,B,110,9,1
28,3,A,A,391,15,1
30,2,B,A,17,20,0
28,3,B,B,653,20,1
30,2,B,B,1508,21,1
30,3,B,A,1058,21,1
58,2,B,B,244,7,1
26,1,B,B,1208,15,0
26,1,B,A,611,19,1
26,2,A,A,202,23,0
28,1,A,A,202,23,0
28,2,A,A,512,24,0
28,3,B,B,1101,20,1
29,1,A,A,724,24,1
58,1,B,B,1570,9,1
28,1,A,A,85,23,1
30,2,B,B,422,20,0
30,3,B,B,855,21,0
28,3,A,A,203,24,1
30,2,A,A,1276,23,1
27,1,B,A,1051,15,0
30,1,B,B,345,15,1
59,1,A,B,1428,9,1
26,1,B,A,247,19,1
30,1,A,A,986,19,1
60,2,B,A,496,7,0
57,1,B,A,1150,7,0
30,1,A,B,1054,15,1
56,1,B,B,1082,9,1
26,1,A,A,204,24,0
30,2,A,A,204,24,0
29,1,B,A,432,20,1
26,2,A,B,629,23,0
27,1,A,A,888,23,0
27,1,A,A,972,19,1
30,1,B,B,1534,15,1
29,1,B,A,937,21,1
30,3,A,A,953,24,0
28,3,A,B,331,23,1
29,1,B,A,243,21,1
30,3,B,B,1494,24,0
28,1,B,A,1203,21,1
57,1,B,B,619,9,1
28,3,B,B,525,23,0
29,1,B,B,1209,15,1
30,2,B,B,1501,21,1
30,2,B,B,1178,23,1
30,2,B,A,1539,21,0
56,1,B,A,1408,9,0
26,2,B,A,840,24,1
27,1,B,A,1383,21,1
28,1,B,B,205,20,1
30,3,B,A,1064,20,1
60,1,A,A,508,7,1
26,1,B,A,1117,24,1
27,1,B,A,846,20,0
59,2,B,B,1567,7,1
56,2,B,B,1391,7,1
59,2,B,B,321,7,1
30,1,A,B,442,21,1
60,1,B,A,878,7,1
30,3,B,B,791,19,1
60,2,A,B,141,9,1
28,1,A,A,1445,24,1
30,3,A,A,1180,19,1
30,2,B,B,206,24,0
60,1,B,A,1233,9,1
26,2,B,A,713,23,1
26,2,A,A,1106,19,0
60,1,A,A,1395,7,1
28,2,A,A,438,24,0
27,1,A,A,212,19,1
28,3,A,A,349,20,1
30,1,B,B,1225,20,1
30,2,B,B,207,15,0
57,2,B,A,1262,9,0
26,1,B,B,117,21,1
60,2,B,B,810,9,1
58,1,A,A,95,7,0
30,2,B,A,1234,20,0
27,1,A,A,398,24,1
26,1,B,B,96,20,1
30,1,B,A,419,23,1
30,3,A,A,1348,24,0
30,3,A,A,1094,19,1
26,2,B,B,667,21,1
30,3,B,B,1463,20,1
26,1,B,A,236,23,1
29,1,B,B,659,20,0
59,1,B,A,158,7,1
26,1,B,B,208,15,1
30,3,A,B,330,23,0
60,1,B,A,338,9,1
57,2,A,B,158,7,1
57,1,B,A,158,7,1
28,3,A,B,208,15,1
29,1,A,A,931,24,0
28,1,B,B,208,15,1
29,1,B,B,208,15,1
57,2,B,B,915,9,0
30,2,A,B,1458,20,0
30,2,A,A,913,23,1
28,1,A,A,961,19,0
58,2,B,B,230,7,1
28,1,B,B,879,20,0
28,2,B,A,1136,21,0
29,1,A,A,209,24,1
30,2,A,A,209,24,1
26,2,A,A,157,19,1
29,1,A,B,675,24,1
28,1,B,B,1015,20,1
27,1,A,A,334,24,1
28,2,B,B,293,23,1
28,3,B,B,1041,21,1
28,1,B,B,869,20,0
56,1,A,B,241,9,1
57,2,B,A,216,7,1
28,1,B,A,1273,23,0
56,1,B,A,353,7,0
27,1,B,B,1303,24,1
30,2,A,A,236,23,1
30,1,A,B,290,23,0
29,1,B,A,210,24,0
30,3,B,B,210,24,0
28,2,B,B,1338,15,1
56,1,A,A,1172,7,1
26,2,A,A,568,19,1
27,1,B,A,775,20,1
28,3,A,A,430,15,1
30,1,A,A,780,23,1
28,1,A,A,1411,19,1
30,1,B,A,1586,23,1
26,1,B,A,791,19,1
30,1,A,A,236,23,1
28,1,A,A,198,19,1
30,3,A,A,300,23,1
57,2,A,A,1420,7,1
28,3,A,A,1374,23,1
57,1,A,A,865,7,0
26,2,A,A,904,19,0
28,1,B,A,987,24,1
60,1,B,A,211,7,0
28,2,B,B,1451,19,1
59,1,A,B,1576,9,1
27,1,A,A,491,19,1
60,2,B,B,917,9,1
26,1,A,A,1113,24,1
58,2,B,B,1,9,1
30,1,B,B,1208,15,0
26,1,A,A,512,24,0
60,2,B,B,886,7,0
56,1,B,A,584,7,1
30,2,A,B,363,20,1
58,2,A,A,436,7,0
27,1,A,A,255,19,0
30,1,A,A,1088,23,1
26,2,B,B,212,19,1
58,1,A,A,1467,7,0
56,1,B,B,352,9,1
30,1,A,A,212,19,1
30,3,A,B,425,21,1
30,1,A,A,396,20,0
26,1,B,A,1306,21,0
30,2,B,A,355,19,0
28,3,A,B,1293,24,1
28,3,A,B,1577,15,0
57,2,B,B,605,9,1
30,3,B,B,872,20,1
58,1,B,A,213,7,1
26,1,A,A,1046,24,0
57,1,A,A,843,9,0
26,1,A,B,497,23,0
29,1,B,A,604,23,0
27,1,B,A,1072,23,0
26,2,B,B,642,21,0
56,2,B,B,648,9,0
56,1,A,A,69,7,1
27,1,A,A,248,19,1
30,1,A,A,43,20,1
28,2,A,A,214,23,1
29,1,A,A,214,23,1
26,1,A,A,233,15,1
59,2,B,B,967,9,0
28,2,A,B,520,23,0
26,2,B,B,849,20,0
30,1,B,A,797,24,0
30,3,B,B,1043,23,1
57,2,B,B,153,7,0
28,1,B,B,33,21,1
29,1,B,A,1540,24,0
30,1,A,B,1436,24,1
27,1,B,A,1071,21,0
28,3,A,A,1471,19,0
28,3,B,B,1385,15,1
26,1,A,A,74,24,1
26,2,B,B,33,21,1
26,2,B,A,215,19,0
56,1,A,B,134,9,0
28,3,A,A,215,19,0
59,1,B,B,1133,9,1
26,2,A,A,633,24,1
26,2,A,B,1565,23,1
28,3,B,A,1236,21,0
57,2,A,A,113,7,1
59,1,B,B,619,9,1
30,2,B,B,1355,21,1
56,2,B,B,1150,7,0
30,3,A,A,157,19,1
30,2,B,B,1560,24,0
26,2,B,B,392,15,1
28,2,B,B,148,21,0
30,3,B,B,1151,20,0
27,1,B,A,1568,19,1
27,1,B,A,1401,19,0
30,1,B,A,1592,24,0
58,2,B,B,159,7,1
28,2,B,A,109,23,1
30,2,B,B,912,19,0
26,1,A,A,410,15,1
26,1,A,A,753,24,1
58,1,A,A,1406,7,0
28,2,A,A,1123,23,1
58,1,B,A,981,7,0
59,1,B,B,644,9,1
60,2,B,B,1092,7,1
28,2,A,A,426,19,1
59,2,A,A,717,7,1
29,1,B,A,1307,24,1
27,1,B,A,730,20,0
29,1,A,A,1094,19,1
57,2,B,B,475,9,1
58,2,B,B,1462,9,0
30,1,B,A,491,19,1
57,1,A,B,1183,9,1
30,1,B,B,238,24,0
29,1,A,A,743,23,0
26,2,A,A,29,15,1
30,3,A,B,568,19,1
27,1,A,A,217,19,1
26,1,B,B,1048,20,0
29,1,B,A,217,19,1
58,1,A,A,650,7,1
58,2,B,B,1542,9,0
56,1,B,B,1274,9,1
29,1,A,B,976,15,1
28,2,A,A,588,19,1
28,3,B,B,5,24,1
30,1,B,B,1039,15,0
28,1,B,B,1270,20,1
27,1,B,B,224,23,1
60,1,A,B,528,9,1
57,1,A,A,1238,7,1
27,1,A,A,44,19,1
30,1,A,A,1218,24,0
57,2,A,A,526,7,1
29,1,B,A,823,23,1
30,2,B,B,332,24,1
30,1,B,A,222,21,0
26,2,A,B,219,21,1
57,1,B,B,908,9,1
30,2,B,B,1173,21,1
28,2,B,A,219,21,1
30,3,B,B,9,15,0
57,1,B,A,1522,7,0
57,1,A,A,1371,7,0
29,1,B,B,1338,15,1
27,1,B,B,590,15,0
28,2,A,B,1308,21,0
28,1,B,A,254,24,1
28,2,B,A,34,23,1
57,1,B,A,244,7,1
28,1,A,B,1308,21,0
27,1,A,A,1114,24,1
27,1,A,A,859,21,1
60,1,B,B,853,9,1
27,1,B,A,1337,20,1
30,1,A,B,1455,15,0
26,2,B,B,220,21,1
60,2,A,A,25,7,1
30,2,B,B,678,19,0
57,2,A,B,51,9,1
28,2,B,B,1580,21,0
60,1,B,B,485,9,1
26,1,A,B,629,23,0
28,3,A,B,236,23,1
29,1,A,B,893,20,0
28,2,B,A,968,20,1
28,3,B,B,1429,15,1
26,1,B,B,320,23,1
26,1,B,A,1084,24,1
30,1,A,A,1294,23,0
56,2,A,A,1502,7,1
28,2,B,B,1583,21,1
57,1,B,B,1486,9,1
57,2,B,B,917,9,1
28,1,A,A,221,20,0
30,3,B,B,388,21,0
28,2,A,A,1593,20,0
30,3,B,B,710,23,0
30,3,A,A,114,19,0
59,2,A,B,1537,7,1
30,3,B,B,124,15,0
27,1,A,B,769,21,1
30,1,A,A,300,23,1
29,1,B,A,734,23,1
28,2,B,B,1087,23,0
27,1,A,A,925,23,1
27,1,B,A,536,15,1
28,3,B,B,1171,23,1
30,3,B,B,881,21,1
59,1,B,A,431,7,1
27,1,A,A,1223,19,0
60,2,B,B,166,9,1
26,1,B,A,1372,20,1
30,1,A,A,438,24,0
57,1,A,A,483,7,1
28,1,B,B,24,15,0
28,1,A,B,1121,15,1
26,1,A,A,525,23,0
27,1,B,A,27,19,1
30,3,B,B,1228,21,1
57,2,B,B,1118,9,1
56,2,B,B,1133,9,1
30,1,B,B,324,20,1
30,2,B,B,636,15,0
30,1,A,A,367,19,0
26,1,B,A,1509,19,0
28,1,A,A,529,19,1
29,1,B,A,254,24,1
28,2,B,B,346,15,1
30,3,B,B,593,21,0
29,1,B,A,224,23,1
30,3,A,A,427,24,1
28,2,B,B,559,15,0
28,1,A,B,1197,15,0
28,3,A,A,1310,23,0
30,2,B,A,513,15,1
28,1,B,B,156,23,0
28,3,B,B,156,23,0
29,1,B,B,1167,15,1
28,3,A,A,1386,24,1
30,1,A,A,1310,23,0
27,1,B,B,309,20,1
26,2,A,A,823,23,1
28,3,A,B,529,19,1
28,3,A,B,600,21,1
28,1,B,A,242,24,1
30,2,B,B,1079,23,0
27,1,A,B,816,15,1
60,1,B,A,694,7,1
30,1,A,A,334,24,1
30,3,B,A,1589,23,1
30,3,A,A,1368,23,0
28,2,B,B,641,15,1
58,2,A,A,1594,7,0
30,2,B,A,210,24,0
30,3,B,B,860,21,1
60,1,B,A,1319,7,1
30,3,A,A,801,20,0
28,2,A,A,105,20,0
60,2,B,B,1570,9,1
28,2,B,B,262,24,0
30,2,A,B,226,19,1
28,3,B,B,413,20,1
30,3,B,B,226,19,1
30,2,A,A,1405,23,1
28,1,A,B,233,15,1
58,2,B,B,1392,9,1
26,1,A,A,207,15,0
29,1,B,B,220,21,1
56,2,B,B,1211,7,1
30,1,B,A,702,19,0
30,2,B,B,90,19,0
28,2,A,A,1561,19,0
57,2,B,B,1311,9,1
28,2,B,B,180,23,1
28,2,A,A,300,23,1
30,2,A,B,1562,20,1
26,1,B,B,40,20,1
59,2,B,B,1311,9,1
57,1,A,A,1460,7,1
30,1,A,A,1214,19,0
27,1,B,A,512,24,0
27,1,A,A,806,19,0
27,1,B,A,246,15,1
28,2,B,B,457,21,0
26,2,B,A,537,24,1
59,1,B,A,1504,7,1
57,1,A,A,306,7,1
30,3,A,B,828,21,1
28,3,B,B,1083,24,1
28,3,B,B,228,20,1
30,3,B,B,357,24,0
26,1,B,A,452,24,0
57,2,B,B,1096,7,1
27,1,A,A,1468,23,0
30,3,A,B,1122,23,1
57,1,B,B,812,9,1
30,1,B,A,251,19,1
30,1,A,A,748,19,0
56,2,B,B,229,7,1
60,1,B,A,1587,7,1
58,2,B,B,1243,7,0
26,1,A,A,824,21,1
28,3,A,A,1333,23,1
30,2,A,A,926,23,1
59,1,B,A,191,9,1
28,2,A,A,1179,19,0
29,1,A,A,746,21,1
59,2,B,B,230,7,1
27,1,B,A,289,19,1
57,2,B,B,1417,9,1
28,1,A,A,435,23,0
27,1,B,B,1041,21,1
30,2,A,B,1326,24,1
30,3,A,B,1247,24,1
58,1,B,A,886,7,0
26,2,B,B,1580,21,0
28,1,A,A,921,24,1
30,3,B,B,1164,20,1
28,1,A,A,786,19,1
60,1,B,A,1535,7,1
30,1,A,A,663,23,1
56,2,B,B,584,7,1
56,2,A,B,1199,9,0
60,2,B,B,231,7,0
